Name,Control,State,Degree_Status,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate_4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Capitol Technology University,2,MD,1,1,9,2,1,44488,47,39,51,49,70,45,97,15,613
Cardinal Stritch University,2,WI,1,2,9,2,1,50420,89,47,54,59,52,48,97,6,1110
Carleton College,2,MN,1,2,5,2,0,78315,18,87,91,91,92,88,75,8,1873
Carlow University,2,PA,1,2,9,2,1,48500,92,43,52,56,52,39,100,11,1625
Carnegie Mellon University,2,PA,1,4,9,2,1,77474,14,79,93,91,95,92,59,5,12915
Carolina University,2,NC,1,1,9,2,1,27500,46,31,46,54,38,53,95,10,864
Carroll College,2,MT,1,2,7,2,1,52490,84,53,67,69,66,65,100,11,1102
Carroll University,2,WI,1,2,9,2,1,50518,70,57,67,67,67,59,100,14,3361
Carson-Newman University,2,TN,1,2,9,2,1,45516,79,49,56,47,62,48,100,14,2793
Carthage College,2,WI,1,2,7,2,1,49000,76,61,68,59,77,61,100,13,3018
Case Western Reserve University,2,OH,1,4,9,2,1,74114,30,67,84,79,91,81,85,9,11031
Castleton University,1,VT,1,2,8,2,1,27524,87,42,54,52,57,55,98,14,1845
Catawba College,2,NC,1,2,7,2,1,48344,56,54,60,57,62,54,99,11,1219
Cazenovia College,2,NY,1,1,7,2,1,54004,68,47,50,48,51,52,100,11,758
Cedarville University,2,OH,1,2,9,2,1,45384,62,64,73,72,75,66,100,15,4307
Centenary College of Louisiana,2,LA,1,1,7,2,1,57500,63,52,57,42,69,48,100,8,596
Centenary University,2,NJ,1,2,9,2,1,51146,98,59,68,68,69,65,100,12,1306
Central Baptist College,2,AR,1,1,5,2,1,28866,62,38,42,34,49,22,81,11,543
Central College,2,IA,1,2,5,2,1,34302,75,60,66,61,71,52,100,12,1098
Central Connecticut State University,1,CT,1,3,9,2,1,27572,75,29,55,48,62,48,93,14,8605
Central Methodist University-College of Liberal Arts and Sciences,2,MO,1,2,5,2,0,42982,99,38,47,40,54,43,100,13,1170
Central Michigan University,1,MI,1,4,9,2,1,26370,77,34,62,56,66,52,97,17,15457
Central Penn College,3,PA,1,1,7,2,1,28830,89,28,36,28,43,31,100,9,543
Central State University,1,OH,1,3,7,1,1,20442,59,8,23,18,28,25,95,25,3568
Central Washington University,1,WA,1,4,8,2,1,26445,88,32,54,50,57,46,86,15,11338
Centre College,2,KY,1,2,5,2,0,60700,68,85,86,83,90,83,100,9,1315
Chaminade University of Honolulu,2,HI,1,2,9,2,1,46682,90,48,65,57,67,62,91,10,1827
Champlain College,2,VT,1,2,7,2,1,62134,62,59,68,63,78,68,100,13,3359
Chapman University,2,CA,1,3,9,2,1,80096,60,72,80,75,82,72,92,12,9805
Charleston Southern University,2,SC,1,2,9,2,1,44422,57,38,49,43,53,44,99,13,3370
Chatham University,2,PA,1,2,9,2,1,56103,73,56,63,48,68,60,100,10,2232
Chestnut Hill College,2,PA,1,2,9,2,1,56061,98,56,63,53,70,55,98,9,1708
Chicago State University,1,IL,1,2,9,2,1,26179,47,5,21,29,16,19,95,10,2077
Chowan University,2,NC,1,1,7,2,1,38170,79,18,29,21,35,26,100,16,1063
Christian Brothers University,2,TN,1,2,7,2,1,48715,97,55,59,52,67,54,100,11,1797
Christopher Newport University,1,VA,1,2,7,2,1,31796,89,66,75,73,76,69,77,13,4745
Citadel Military College of South Carolina,1,SC,1,2,8,2,1,30690,86,68,73,74,69,65,88,11,3859
Claflin University,2,SC,1,2,7,1,1,33676,62,38,51,42,56,47,99,13,2036
Claremont McKenna College,2,CA,1,2,7,2,0,78717,11,80,93,91,94,86,66,8,1327
Clarion University of Pennsylvania,1,PA,1,2,9,2,1,28793,99,43,58,49,62,48,98,17,3783
Clark Atlanta University,2,GA,1,2,9,1,1,39446,58,23,42,37,43,40,97,18,3574
Clark University,2,MA,1,2,9,2,1,62202,48,75,79,80,78,79,96,9,3290
Clarke University,2,IA,1,1,9,2,1,52241,89,49,54,47,59,58,100,8,837
Clarks Summit University,2,PA,1,1,9,2,1,36700,58,17,43,38,48,51,100,11,583
Clarkson College,2,NE,1,2,9,2,1,25974,96,60,68,0,71,60,92,18,976
Clarkson University,2,NY,1,2,9,2,1,74462,75,63,76,73,81,69,100,13,3747
Clayton  State University,1,GA,1,3,8,2,1,20919,63,14,36,31,39,35,91,19,5584
Cleary University,2,MI,1,1,7,2,1,37464,76,35,45,35,67,45,100,18,655
Clemson University,1,SC,1,5,9,2,1,34164,49,65,85,81,89,75,87,16,25620
Cleveland Institute of Art,2,OH,1,1,5,2,1,62505,66,47,56,51,59,45,100,9,577
Cleveland Institute of Music,2,OH,1,1,9,2,1,58904,33,58,71,60,84,75,98,8,344
Cleveland State University,1,OH,1,4,9,2,1,30179,91,33,51,49,52,44,94,16,13508
Coastal Carolina University,1,SC,1,4,9,2,1,26680,79,37,51,47,54,45,100,17,9793
Coe College,2,IA,1,2,5,2,0,63012,73,59,64,67,63,56,100,9,1488
Coker University,2,SC,1,2,7,2,1,44864,98,30,37,34,40,31,100,12,1076
Colby College,2,ME,1,2,5,2,0,78665,9,81,87,86,88,77,39,10,2475
