Day,Language,Number_of_Foods,SaltUse,Energy (kcal),Protein (gm),Carbs (gm),Sugar (gm),Fiber (gm),Fat (gm),Cholesterol,Calcium (mg),Caffeine (mg),Alcohol (gm),Food_Comparison,Water (gm)
2,1,4,2,645,69.6,8.97,6.33,4.2,35.7,42,1577,0,0,3,2028
2,1,13,2,1528,67.35,162.62,76.53,6.8,67.44,210,1366,0,0,2,315
2,1,24,1,2008,66.34,241.03,93.86,14.1,87.99,175,840,264,0,2,570
2,1,9,2,1788,63.51,249.54,138.41,10.1,50.84,101,702,292,14,1,720
6,1,8,2,2072,70.52,245.2,126.18,7.1,89.72,266,1130,47,0,3,1440
6,1,18,2,1566,43.54,244.29,144.15,13.9,48.45,124,533,1,0,2,20
3,1,16,1,1084,37.45,162.65,59.83,10.2,32.25,509,450,3,0,2,1275
1,1,24,1,1824,60.74,230.55,97.5,22.3,75.63,129,1295,4,0,2,150
4,1,17,2,2782,81.53,403.18,233.55,10.5,99.71,200,1769,0,0,2,507
2,1,21,2,1911,84.76,299.11,165.29,12.2,43.27,102,2085,372,0,1,1521
2,1,7,1,2563,60.19,164.58,54.52,6.3,90.08,167,493,0,130.6,3,870
4,1,7,2,1272,41.13,192.37,81.39,9.5,39.16,130,644,1020,0,3,4920
2,1,11,2,4564,139.37,354.05,112.65,19.3,289.68,956,2995,0,0,1,1050
2,1,9,2,591,13.31,88.13,41.38,4.1,21.47,6,456,0,0,3,105
2,1,20,1,2553,96.48,276.23,117.05,8.1,120.5,1145,1273,0,0,1,987
1,1,14,2,1218,40.87,142,87.84,9.6,53.26,535,544,12,5.6,2,720
1,1,20,1,3111,85.45,439.53,235.74,20.1,115.29,291,466,108,0,2,253.5
2,1,9,2,2179,70.47,266.11,111.94,12.3,93.56,400,886,4,0,3,507
1,2,15,2,1146,34.75,199.37,85.45,17.8,26.72,120,215,126,0,2,195
2,1,8,2,1206,23.01,165.13,105.32,5.6,52.06,45,503,141,0,2,390
6,1,15,2,2707,160.14,251.47,138.04,18.5,104.9,630,1300,144,20.7,2,465
1,1,15,2,1370,35.64,208.1,104.25,8.3,44.41,72,616,0,0,2,180
3,1,12,2,1200,91.43,151.33,57.07,15.3,25.97,162,1311,0,0,2,3840
3,1,20,2,1851,50.8,272.11,149.03,11,64.06,139,1031,11,0,2,1200
1,1,25,2,2607,137.5,240.94,86.49,26.2,122.69,337,1000,146,0,2,5100
3,2,19,1,3161,199.1,262.03,133.17,23.5,144.99,952,861,49,0,2,1920
3,1,14,2,1531,47.73,168.35,37.37,18.9,77.32,110,910,0,0,3,1254
6,1,10,2,1888,76.78,298.54,130.27,20.6,39.82,206,1579,33,8.2,2,633.75
7,1,11,2,1635,105.53,155.12,72.96,7.4,66.47,309,442,307,0,2,960
1,1,17,2,1105,72.21,112.3,72.77,6.3,41.01,435,399,0,0,3,360
5,1,15,2,1330,73.78,199.57,100.93,16.1,27.71,165,250,177,0,2,600
1,1,14,1,1870,103.29,145.9,85.48,6.7,95.81,601,931,192,0,2,960
2,1,22,2,4595,195.56,449.65,206.38,27,226.86,1207,955,128,0,2,960
4,1,8,2,1132,47.1,104.85,14.85,9,58.02,126,316,5,0,2,240
3,1,7,2,1216,42.22,90.56,8.49,11.3,56.46,101,609,120,25.4,2,960
5,2,14,2,1411,37.49,206.19,48.24,26.6,50.66,394,570,0,0,2,1774.5
4,1,10,2,874,19.42,129.48,96.8,8,32.36,22,565,0,0,2,0
5,2,18,1,666,38.78,94.08,39.41,10.8,16.54,223,639,4,0,2,1166.1
3,1,10,2,1377,37.91,256.59,50.27,15.4,25.51,35,364,126,0,3,480
2,1,11,2,3152,90.71,376.19,210.32,15.1,146.2,570,1755,12,0,3,765
1,2,12,2,1717,123.92,171.27,33.83,49.6,60.85,199,757,659,0,3,1440
2,1,10,2,2234,45.53,235.36,69.95,7.3,58.98,96,404,0,84.2,3,0
4,1,11,2,1420,55.78,160.84,80.35,5.1,61.76,187,930,192,0,2,3117
2,1,10,2,2495,181.36,200.77,66.89,9.4,105.87,1511,1203,0,0,2,420
4,2,26,1,1504,61.86,153.47,46.03,17.9,74.99,89,370,13,0,2,1320
2,2,13,1,1050,28,182.06,120.61,6.7,25.69,42,474,129,0,2,608.4
1,1,19,2,1241,43.71,144.41,73.86,12.8,38.32,73,623,25,22.3,3,3630
4,1,8,2,2180,36.77,395.36,285.44,9.3,55.58,96,470,183,0,2,0
4,1,13,2,1396,81.79,143.51,55.17,8.7,45.14,237,533,31,14,2,840
6,1,18,2,1796,66.11,314.11,92.28,20.8,33.48,389,589,105,0,2,720
3,1,10,2,3093,64.57,350.91,216,16.4,159.88,191,824,104,0,2,15
3,1,10,2,1416,60.05,153.72,81.58,8,63.55,265,1117,0,0,2,720
2,1,24,2,1543,66.41,200.24,72.29,38.6,57.96,121,965,46,0,2,615
1,1,17,2,1268,64.34,164.4,89.47,15.3,42.7,152,954,50,0,2,0
6,1,11,2,670,17.24,82.57,66.41,5.6,30.75,22,566,0,0,2,120
3,1,6,2,2019,96.77,223.03,79.88,10.9,82.65,204,1190,45,0,2,150
4,1,10,2,839,18.88,111.08,79.84,2.2,34.89,6,662,0,0,2,60
2,1,7,2,1184,38.67,72.47,34.35,3.7,84.1,345,722,2,0,3,1200
6,1,18,2,2053,96.99,197.8,48.47,14.8,96.1,324,897,172,0,2,870
5,1,13,1,1414,58.25,173.19,98.01,7.9,56.33,137,1153,356,0,2,525
4,1,9,2,837,39,116.03,37.15,8.9,24.89,118,238,17,0,2,180
2,2,8,2,564,20.51,98.25,48.94,10.1,11.55,22,288,0,0,2,0
5,1,7,2,1042,39.04,162.43,34.48,20.9,30.83,29,954,1,0,2,5655
1,1,6,2,554,9.92,93.71,28.91,6.2,18.84,0,107,0,0,2,480
5,1,14,1,1974,59.48,313.9,129.31,30.9,63.5,472,1422,0,0,1,315
7,1,11,2,988,46.04,131.07,63.92,5.2,31.19,140,1201,0,0,2,199.99
3,1,20,1,1174,44.25,155.45,96.72,6.8,45.04,173,767,15,0,3,105
6,1,13,2,1356,30.49,229.69,134.37,8.2,37.02,70,761,6,0,2,0
3,1,8,2,1937,88.65,198.06,23.37,13.8,87.87,220,1423,0,0,3,3042
2,1,7,2,561,25.82,61.58,22.15,2,23.59,112,54,18,0,2,435
2,1,20,1,2600,106.39,308.57,193.01,25.9,112.46,341,1296,0,0,2,960
1,2,11,2,821,31.75,92.38,37.58,3.4,36.18,122,332,118,0,3,253.5
5,1,19,2,2010,82.83,156.65,48.44,6.9,105.78,785,314,112,14,2,495
1,1,8,2,2898,82.93,348.3,235.97,17.5,138.48,441,865,42,0,3,315
3,1,14,2,1504,40.42,218.74,112.2,11,56.28,94,671,0,0,2,480
6,1,17,2,3335,88.78,426.73,91.4,41.4,144.53,108,1427,29,0,2,1785
1,1,17,2,950,36.13,176.34,66.28,21.9,18.58,55,405,48,0,2,1170
4,1,18,2,893,53.08,106.16,41.61,20.1,31,138,291,36,0,3,1080
1,1,21,2,1324,40.25,191.02,100.76,6.8,45.21,270,832,11,0,2,540
1,1,12,2,1619,35.34,236.48,133.38,6.6,59.93,156,491,0,0,2,1014.45
7,1,20,1,1910,101.54,247.96,80.89,28.6,61.1,408,406,0,0,2,807
2,1,12,2,1176,43.43,165.05,86.59,12.9,41.56,450,438,4,0,3,600
5,1,19,1,1194,42.89,160.59,82.27,9.5,43.48,187,758,6,0,2,90
3,1,21,1,2501,89.85,307.72,154.53,14.3,104.04,292,817,72,0,2,525
4,1,10,2,1399,53.97,201.5,104.9,24.1,46.48,137,430,1,0,2,1065
2,1,19,2,1299,33.12,186.13,82.34,12,48.74,58,417,2,0,2,150
3,1,13,2,1886,78.47,237.36,86.73,16.6,69.35,203,1284,153,0,2,1521
3,1,13,2,1721,56.61,205.16,73.79,13,75.28,125,706,4,0,2,315
3,1,12,2,2006,43.55,255.34,62.17,28.2,67.04,39,630,216,33.5,2,3000
1,1,7,2,1021,54.2,96.3,30.24,12.1,48.02,236,134,0,0,3,240
1,1,18,2,3567,97.19,477.4,307.67,22.9,152.59,265,1335,24,0,2,507
5,1,9,2,576,23.9,63.93,20.02,5.2,25.91,58,147,1,0,2,1125
3,1,12,2,1442,46.48,162.12,61.93,8.3,66.92,146,1214,0,0,2,30
2,1,16,2,1841,51.16,228.15,133.73,13.4,85.66,648,375,56,0,3,1920
3,1,14,2,2379,61.84,315.38,178.2,9.3,99.79,139,799,47,0,1,0
5,1,7,2,1349,48.28,160.49,39.2,10.1,57.83,82,1106,22,0,2,1440
5,1,13,1,1768,60.29,218.07,151.25,6.6,75.51,158,810,98,0,1,360
4,1,9,2,1476,65.17,207.54,98.99,10,44.18,182,1245,5,0,3,720
2,1,13,1,1146,48.35,147.11,84.81,12.6,41.48,106,1108,4,0,2,675
4,1,9,2,1223,54.89,138.19,26.62,7.9,50.01,140,704,47,0,2,1920
5,1,17,2,2592,118.06,284.09,102.66,31.6,117.43,163,1646,0,0,2,1575
