Trip Seconds,Trip Miles,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Location,Dropoff Location
1380,0.3,19.75,0,0,0,19.75,Cash,Taxi Affiliation Services,6,15
180,0.5,5,0,0,1,6,Cash,KOAM Taxi Association,32,28
1080,20.9,33.5,0,0,4,37.5,Cash,Star North Management LLC,76,16
0,0,0,0,0,0,0,Cash,Blue Ribbon Taxi Association Inc.,22,22
60,0,3.25,2,0,6,11.25,Credit Card,Blue Ribbon Taxi Association Inc.,22,22
1741,11.09,30.75,0,0,1,31.75,Prcard,Flash Cab,33,29
693,2.92,11.83,2.15,0,0,13.98,Mobile,Globe Taxi,6,7
566,4.24,16.16,1.83,0,0,17.99,Mobile,City Service,6,8
1099,8.11,28.88,6.48,0,0,35.36,Mobile,Medallion Leasin,6,33
1320,15.6,38.5,0,0,4,42.5,Credit Card,Taxi Affiliation Services,76,24
540,2.3,9.25,2.25,0,1.5,13,Credit Card,Taxi Affiliation Services,6,7
600,4.7,14.5,5,0,5.5,25,Credit Card,Taxi Affiliation Services,76,DOC
762,1.6,9,0,0,0,9,Cash,Medallion Leasin,77,4
487,3.35,11,2,0,0,13.5,Credit Card,City Service,6,16
360,2.2,8.5,0,0,0,8.5,Cash,Blue Ribbon Taxi Association Inc.,24,22
0,0,140,25,0,0,165,Credit Card,Taxi Affiliation Services,8,8
180,0.6,5,0,0,1,6,Cash,Medallion Leasin,8,8
792,7.29,20,0,0,5.5,25.5,Cash,Flash Cab,76,DOC
864,5.82,20.31,4.57,0,0,24.88,Mobile,Globe Taxi,7,28
2075,0,16.71,3.77,0,0,20.48,Mobile,Flash Cab,77,2
485,0,10.05,2,0,0,12.05,Mobile,Flash Cab,6,7
900,8.6,23,4.7,0,0,27.7,Credit Card,Taxi Affiliation Services,8,1
1330,15.48,38.25,12.55,0,24,75.3,Credit Card,Flash Cab,76,DOC
840,5.6,16.75,0,0,1,18.25,Credit Card,Medallion Leasin,6,32
781,4.85,15.25,0,0,0,15.25,Cash,Sun Taxi,6,8
360,0.1,7.75,0,0,1,8.75,Cash,Taxi Affiliation Services,8,24
645,3.8,12.25,0,0,1,13.25,Cash,Sun Taxi,7,7
683,0,15.74,0,0,0,15.74,Mobile,Flash Cab,6,24
542,1.73,8.25,3,0,0,11.75,Credit Card,Flash Cab,32,8
1365,7.44,31.84,7.13,0,0,38.97,Mobile,Sun Taxi,21,1
1260,0,26.25,3,0,0,29.25,Credit Card,Taxi Affiliation Services,32,25
1288,16.9,42,10,0,25.5,78,Credit Card,Chicago Independents,76,DOC
720,4.4,14,3.1,0,1,18.1,Credit Card,Taxi Affiliation Services,6,8
1576,19.19,44.14,0,0,0,44.14,Cash,Flash Cab,28,53
660,1.4,8,0,0,1,9,Prcard,Medallion Leasin,7,6
1904,12.07,32.5,0,0,1,33.5,Prcard,Flash Cab,8,43
571,1.75,8.5,3,0,2,14,Credit Card,City Service,32,DOC
816,3.03,11.75,0,0,0,11.75,Cash,Flash Cab,8,33
1440,15.6,39,7,0,4,50,Credit Card,Taxicab Insurance Agency,POC,7
300,0,6,0,0,0,6,Cash,Taxi Affiliation Services,32,8
529,1.67,9.36,2.14,0,0,11.5,Mobile,Sun Taxi,6,DOC
420,1.7,7.5,0,0,0,7.5,Cash,Blue Ribbon Taxi Association Inc.,8,7
720,1.5,12.5,0,0,1,13.5,Cash,Taxicab Insurance Agency,3,6
598,5.45,16.25,0,0,0,16.25,Cash,Flash Cab,32,26
1680,0,45.75,0,0,4,49.75,Cash,Taxi Affiliation Services,76,32
960,4,13.75,0,0,0,13.75,Cash,Blue Ribbon Taxi Association Inc.,6,4
997,11.25,29.5,0,0,0,29.5,Prcard,Flash Cab,43,58
454,1.56,7.5,0,0,1,8.5,Cash,Flash Cab,6,7
