Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
Turner,MIA,103.6,27,96.9,400,Sinker
Seager,DET,107.7,24,96.9,420,4
Toro,TEX,107.3,23,96.9,380,4
Albies,ARI,104.8,31,96.9,416,4
Anderson,BOS,106.5,22,96.8,382,4
GarcÃ­a,ATL,107.3,31,96.8,407,4
Pederson,MIL,107.5,37,96.8,417,4
O'Neill,MIL,104,28,96.8,409,Sinker
Rojas,COL,101.4,29,96.8,409,4
Castellanos,PHI,99.6,25,96.8,412,4
Reynolds,NYM,109.6,32,96.8,431,Sinker
Adell,SD,106.1,24,96.8,376,4
Tatis Jr.,LAD,104.2,32,96.8,368,4
Toro,HOU,103.4,28,96.8,413,Sinker
Albies,CIN,104.3,23,96.8,369,Sinker
India,DET,99.7,31,96.8,409,Sinker
Ohtani,BOS,96.6,36,96.7,372,4
Guerrero Jr.,BAL,103.3,26,96.7,377,4
Gallo,HOU,105.6,23,96.7,355,4
Pollock,TEX,104.7,24,96.7,418,4
SanÃ³,BAL,114.1,20,96.7,426,Sinker
Correa,CWS,101.2,29,96.7,373,4
Arenado,CIN,108,20,96.7,372,4
Semien,CWS,105.8,23,96.7,388,4
Lux,SEA,106.5,32,96.7,413,4
Guerrero Jr.,WSH,103.9,25,96.7,375,Sinker
Renfroe,NYY,111.5,29,96.7,456,4
Haase,MIN,102.2,25,96.7,362,4
UrÃ­as,TB,103.6,28,96.7,424,4
Turner,COL,104.2,27,96.7,399,4
O'Neill,NYM,111.1,26,96.7,439,Sinker
Seager,HOU,105.1,27,96.7,409,4
Romine,CWS,94.1,30,96.7,365,4
Olson,MIN,110.3,27,96.7,385,Sinker
Hays,CWS,100.1,28,96.7,361,4
Guerrero Jr.,BAL,108.1,33,96.7,438,4
HernÃ¡ndez,WSH,100.8,24,96.7,401,Sinker
Zimmerman,MIA,107.4,25,96.7,430,4
Hampson,PHI,101.4,36,96.7,411,Sinker
Contreras,ATL,110.5,21,96.6,416,4
Renfroe,TB,104,22,96.6,427,4
Arenado,MIL,95.7,33,96.6,373,4
UrÃ­as,DET,104.7,26,96.6,391,Sinker
Baddoo,MIN,104.2,26,96.6,412,4
Phillips,CLE,102.5,35,96.6,419,4
Castellanos,WSH,105.6,24,96.6,413,4
Donaldson,CWS,104,24,96.6,435,4
Bell,PIT,99.8,29,96.6,390,4
Semien,NYY,105.2,33,96.6,403,4
Cabrera,SD,100.1,32,96.6,386,4
Torres,NYM,99,35,96.6,382,Sinker
Gallo,CWS,113.8,36,96.6,424,4
Vaughn,TOR,103.3,23,96.6,390,4
Castro,NYM,100.1,26,96.6,386,Sinker
Torrens,CWS,101.2,28,96.6,367,4
Bohm,MIL,104.3,26,96.6,395,4
GarcÃ­a,CIN,101.6,37,96.6,344,Sinker
Posey,LAD,99.1,34,96.6,386,Sinker
Profar,LAD,92.2,28,96.6,346,4
Santana,DET,105.6,24,96.6,442,4
Alonso,LAD,102,33,96.5,377,Sinker
Rendon,TB,105.4,34,96.5,406,4
Realmuto,PIT,99.7,32,96.5,352,4
SÃ¡nchez,BOS,103.4,21,96.5,362,4
Camarena,WSH,107.2,22,96.5,416,4
Rogers,MIN,106.8,23,96.5,421,Sinker
Calhoun,NYY,103.9,27,96.5,417,4
Schwarber,NYM,103.3,26,96.5,379,Sinker
Hedges,BOS,104.6,24,96.5,387,4
Altuve,TOR,95.4,29,96.5,392,Sinker
Santana,CWS,104.1,29,96.5,405,4
Albies,TOR,102.3,34,96.5,424,4
Guerrero Jr.,NYY,114.3,20,96.5,398,4
McNeil,ATL,101.3,33,96.5,410,4
Santana,CLE,101.5,22,96.5,402,4
Lindor,NYY,108.7,38,96.5,395,4
Walsh,BOS,104.8,31,96.5,406,4
Thomas,MIA,106.3,23,96.5,413,Sinker
Garlick,CLE,109.3,26,96.5,442,4
Galvis,MIA,102.1,28,96.5,406,4
Muncy,SD,105.2,37,96.4,406,4
Bryant,SD,97.4,31,96.4,369,4
Swanson,MIA,105.9,27,96.4,408,Sinker
Stephenson,PIT,105,28,96.4,383,4
Donaldson,DET,108.2,24,96.4,422,Sinker
Gardner,TOR,98.3,34,96.4,393,4
Wisdom,SF,107.8,36,96.4,418,4
Freeman,NYM,109.6,26,96.4,446,4
MejÃ­a,BOS,101.5,35,96.4,392,4
Betts,SD,102.6,25,96.4,406,Sinker
Villar,ATL,107.9,32,96.4,431,4
Murphy,OAK,103.6,26,96.4,389,4
La Stella,PHI,100.4,34,96.4,390,4
Buxton,DET,114.1,38,96.4,451,4
Hedges,CWS,102,33,96.4,381,4
Brown,TB,108.4,22,96.4,412,4
RamÃ­rez,BAL,106.4,35,96.4,404,Sinker
Peraza,MIL,100.1,34,96.4,390,4
Perez,CWS,102,38,96.4,359,4
Lowe,TOR,111.2,19,96.4,375,4
Espinal,KC,102.6,25,96.3,394,Sinker
