Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
"Aguilar, JesÃºs",SF,110.6,16,97.3,407,4
"Rooker, Brent",TOR,106.7,29,97.3,409,4
"Collins, Zack",MIN,102.9,28,97.3,410,4
"Springer, George",TB,104.2,23,97.3,406,4
"Donaldson, Josh",BOS,106.7,30,97.3,413,4
"Ohtani, Shohei",CWS,106.3,29,97.3,421,4
"BÃ¡ez, Javier",CIN,108.2,27,97.3,434,4
"Gamel, Ben",MIL,103.5,26,97.3,394,Sinker
"Odor, Rougned",KC,109,18,97.2,406,4
"Yastrzemski, Mike",CIN,109.4,21,97.2,389,Sinker
"O'Hearn, Ryan",CWS,104,30,97.2,411,4
"Vogelbach, Daniel",STL,99.5,30,97.2,397,Sinker
"Brantley, Michael",CWS,106.9,22,97.2,375,4
"Phillips, Brett",NYY,102.7,30,97.2,385,Sinker
"Semien, Marcus",BOS,97.4,27,97.2,348,Sinker
"Hays, Austin",NYY,102.1,29,97.2,393,4
"Goldschmidt, Paul",CLE,98.2,29,97.2,365,4
"Canha, Mark",SEA,96.9,31,97.2,362,4
"Guerrero Jr., Vladimir",TB,113.9,15,97.1,356,4
"RamÃ­rez, JosÃ©",NYY,104.7,30,97.1,389,4
"Cameron, Daz",CWS,104.2,27,97.1,397,4
"Lowe, Brandon",BOS,108,21,97.1,391,4
"Belt, Brandon",NYM,105.4,28,97.1,422,4
"Soto, Juan",NYM,97.4,36,97.1,349,4
"Solano, Donovan",OAK,101.6,25,97.1,381,Sinker
"Wisdom, Patrick",CLE,108.9,23,97.1,423,4
"Adell, Jo",DET,111.9,29,97.1,416,Sinker
"Schwindel, Frank",CWS,105,39,97.1,402,4
"RamÃ­rez, JosÃ©",CWS,103.3,38,97.1,390,4
"Hosmer, Eric",ATL,109.9,19,97.1,421,4
"Longoria, Evan",SD,100.3,31,97.1,381,Sinker
"Santana, Carlos",CWS,106.5,29,97.1,407,4
"Shaw, Travis",LAD,108.3,30,97,443,4
"Goldschmidt, Paul",MIL,108,26,97,431,Sinker
"Turner, Justin",SD,105.7,29,97,396,4
"Zimmerman, Ryan",TB,101.3,29,97,363,4
"Benintendi, Andrew",OAK,103.5,24,97,401,4
"Joe, Connor",CHC,103.3,29,97,410,4
"Shaw, Travis",TEX,103.5,30,97,423,Sinker
"Ohtani, Shohei",CWS,115.2,21,97,451,4
"Kim, Ha-Seong",COL,104.3,29,97,420,4
"Harrison, Josh",NYY,105,25,97,389,4
"France, Ty",OAK,105.5,27,97,394,4
"Springer, George",TB,103.9,26,97,403,4
"Judge, Aaron",BOS,111.4,18,97,358,4
"Votto, Joey",PIT,100.5,25,97,376,4
"Alvarez, Yordan",TEX,91.1,31,97,348,4
"Semien, Marcus",BAL,102.7,37,97,395,4
"Odor, Rougned",SEA,98.7,33,97,370,4
"Beaty, Matt",MIL,101.8,33,97,399,4
"Rojas, Jose",BOS,105.2,33,96.9,407,4
"Cruz, Nelson",OAK,105.3,31,96.9,398,4
"Escobar, Eduardo",PHI,105.1,37,96.9,408,4
"Lewis, Kyle",OAK,109.7,30,96.9,425,4
"Canha, Mark",TOR,104.7,21,96.9,354,4
"Bichette, Bo",KC,107.5,20,96.9,391,Sinker
"Pham, Tommy",STL,105.9,20,96.9,382,Sinker
"MejÃ­a, Francisco",PHI,103.1,31,96.9,409,4
"UrÃ­as, Luis",LAD,111.5,22,96.9,394,Sinker
"AraÃºz, Jonathan",CLE,100.2,21,96.9,375,4
"SanÃ³, Miguel",MIL,106.7,18,96.9,364,4
"Hiura, Keston",CHC,102.3,26,96.9,389,4
"Olson, Matt",KC,98.1,32,96.9,367,4
"Santana, Carlos",CWS,110.3,31,96.9,441,4
"Walsh, Jared",CWS,103.1,23,96.9,399,4
"Turner, Trea",MIA,103.6,27,96.9,400,Sinker
"Seager, Kyle",DET,107.7,24,96.9,420,4
"Toro, Abraham",TEX,107.3,23,96.9,380,4
"Albies, Ozzie",ARI,104.8,31,96.9,416,4
"Anderson, Tim",BOS,106.5,22,96.8,382,4
"GarcÃ­a, AvisaÃ­l",ATL,107.3,31,96.8,407,4
"Pederson, Joc",MIL,107.5,37,96.8,417,4
"O'Neill, Tyler",MIL,104,28,96.8,409,Sinker
"Rojas, Josh",COL,101.4,29,96.8,409,4
"Castellanos, Nick",PHI,99.6,25,96.8,412,4
"Reynolds, Bryan",NYM,109.6,32,96.8,431,Sinker
