Name,Control,State,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Birmingham-Southern College,Private,AL,2,5,No,Yes,37470,66,65,70,64,76,57,97,10,1193
Black Hills State University,Public,SD,2,7,No,Yes,22100,97,26,42,30,52,35,94,17,2477
Blackburn College,Private,IL,1,5,No,Yes,37150,66,36,46,41,49,41,100,9,507
Bloomfield College,Private,NJ,2,7,No,Yes,47992,84,22,38,26,44,37,98,14,1460
Bloomsburg University of Pennsylvania,Public,PA,3,9,No,Yes,26110,90,42,59,54,63,51,89,19,7835
Blue Mountain College,Private,MS,1,7,No,Yes,30125,99,47,58,42,79,41,100,21,793
Bluefield State College,Public,WV,2,5,Yes,Yes,22971,97,17,31,33,28,27,93,13,1004
Bluefield University,Private,VA,1,7,No,Yes,43357,72,33,35,28,46,25,99,14,1132
Bluffton University,Private,OH,1,7,No,Yes,49848,75,49,53,48,58,40,100,12,682
Boise Bible College,Private,ID,1,5,No,Yes,25800,79,46,50,64,30,47,100,10,80
Boise State University,Public,ID,5,9,No,Yes,27095,83,31,53,48,57,45,85,20,18297
Boston Baptist College,Private,MA,1,5,No,Yes,26691,64,60,80,71,100,80,100,6,43
Boston College,Private,MA,4,9,No,Yes,80658,19,88,91,90,92,85,51,14,13312
Boston University,Private,MA,5,9,No,Yes,79606,19,84,89,88,90,87,58,11,34081
Bowdoin College,Private,ME,2,5,No,No,76310,9,89,94,92,95,91,62,9,1756
Bowie State University,Public,MD,3,9,Yes,Yes,25116,87,17,42,34,47,43,83,18,5439
Bowling Green State University-Main Campus,Public,OH,4,9,No,Yes,28963,79,46,61,57,63,51,98,18,16122
Bradley University,Private,IL,3,9,No,Yes,51428,76,57,74,71,77,64,100,12,5529
Brandeis University,Private,MA,3,9,No,Yes,78956,39,82,88,86,89,88,84,10,6555
Brenau University,Private,GA,2,9,No,Yes,48960,89,39,52,50,52,38,96,9,2583
Brescia University,Private,KY,1,7,No,Yes,42254,53,34,47,46,48,36,89,12,810
Brevard College,Private,NC,1,7,No,Yes,44650,45,26,33,27,39,25,100,10,746
Brewton-Parker College,Private,GA,1,5,No,Yes,35357,80,5,12,8,18,13,99,18,585
Bridgewater College,Private,VA,2,7,No,Yes,55250,75,55,62,59,65,54,100,13,1584
Bridgewater State University,Public,MA,3,8,No,Yes,28664,86,39,62,54,69,60,91,19,9306
Brigham Young University,Private,UT,5,9,No,Yes,20146,59,25,77,73,80,65,65,21,35738
Brigham Young University-Hawaii,Private,HI,2,5,No,Yes,21867,88,30,49,57,47,71,76,16,3445
Brigham Young University-Idaho,Private,ID,5,5,No,Yes,12880,97,15,46,45,48,42,58,20,46322
Brown University,Private,RI,4,9,No,Yes,82570,6,86,96,95,97,93,55,6,9330
Bryant University,Private,RI,2,7,No,Yes,66943,74,80,84,81,87,86,98,13,3706
Bryn Athyn College of the New Church,Private,PA,1,7,No,Yes,42769,91,33,39,38,39,41,94,6,256
Bucknell University,Private,PA,2,7,No,No,77740,35,83,88,86,90,87,62,9,3760
Buena Vista University,Private,IA,2,7,No,Yes,51796,66,56,63,56,71,61,100,11,1779
Bushnell University,Private,OR,1,8,No,Yes,45810,68,51,60,60,60,50,100,13,752
Butler University,Private,IN,3,9,No,Yes,62710,81,75,82,82,83,75,98,11,5409
Cabrini University,Private,PA,2,9,No,Yes,49710,80,43,52,53,52,41,100,14,1789
Cairn University-Langhorne,Private,PA,2,7,No,Yes,45563,82,46,61,57,65,60,99,12,1129
Caldwell University,Private,NJ,2,9,No,Yes,55660,96,49,59,58,60,56,100,13,2006
California Baptist University,Private,CA,4,9,No,Yes,51914,64,37,57,54,58,52,100,19,11431
California College of the Arts,Private,CA,2,7,No,Yes,76379,78,44,65,61,68,63,84,8,1536
California Institute of Technology,Private,CA,2,9,No,No,79947,4,86,93,91,95,88,67,3,2235
California Institute of the Arts,Private,CA,2,9,No,No,75927,29,61,72,67,75,71,99,7,1100
California Lutheran University,Private,CA,2,9,No,Yes,65186,82,68,74,68,77,72,98,14,4070
California Polytechnic State University-San Luis Obispo,Public,CA,5,7,No,Yes,29680,33,57,85,82,89,81,65,21,21518
California State Polytechnic University-Humboldt,Public,CA,3,7,No,Yes,24818,91,20,48,44,49,45,81,16,5838
California State Polytechnic University-Pomona,Public,CA,5,9,No,Yes,28187,61,28,70,67,74,69,80,28,26368
California State University Maritime Academy,Public,CA,1,7,No,Yes,27308,82,59,68,66,82,67,74,12,954
California State University-Bakersfield,Public,CA,4,9,No,Yes,24877,85,17,48,42,51,47,90,21,10409
California State University-Channel Islands,Public,CA,3,7,No,Yes,27901,93,23,58,52,61,55,82,20,6583
California State University-Chico,Public,CA,4,7,No,Yes,26122,85,33,65,61,69,57,71,22,15403
California State University-Dominguez Hills,Public,CA,4,8,No,Yes,25942,90,16,53,51,53,52,90,25,15096
California State University-East Bay,Public,CA,4,9,No,Yes,26660,82,12,48,44,51,46,92,24,14770
California State University-Fresno,Public,CA,5,9,No,Yes,22328,97,18,57,51,60,53,85,22,21979
California State University-Fullerton,Public,CA,5,9,No,Yes,28015,59,29,71,66,76,69,79,25,35765
California State University-Long Beach,Public,CA,5,9,No,Yes,24988,47,34,75,72,78,74,80,23,34072
California State University-Los Angeles,Public,CA,5,9,No,Yes,28004,91,11,52,47,55,51,92,25,22974
California State University-Monterey Bay,Public,CA,3,7,No,Yes,21468,93,33,60,55,63,60,75,23,6953
California State University-Northridge,Public,CA,5,9,No,Yes,23163,88,17,54,47,60,51,85,26,33924
California State University-Sacramento,Public,CA,5,9,No,Yes,28086,94,20,57,51,62,55,83,25,28226
California State University-San Bernardino,Public,CA,4,9,No,Yes,24814,91,19,57,52,60,55,89,25,17464
California State University-San Marcos,Public,CA,4,9,No,Yes,24653,93,19,59,52,64,56,77,25,14190
California State University-Stanislaus,Public,CA,4,9,No,Yes,23578,95,19,58,52,60,56,88,20,9933
California University of Pennsylvania,Public,PA,3,9,No,Yes,27526,97,37,48,43,52,40,95,19,6142
Calvary University,Private,MO,1,9,No,Yes,19531,59,11,37,33,40,43,89,10,294
Calvin University,Private,MI,2,7,No,Yes,52840,75,66,77,73,80,65,95,12,3372
Campbell University,Private,NC,3,9,No,Yes,58800,87,40,55,53,57,46,100,14,6115
Canisius College,Private,NY,2,8,No,Yes,45404,81,64,71,73,69,65,100,12,2654
Capital University,Private,OH,2,9,No,Yes,55669,74,54,62,58,64,48,100,10,2998
Capitol Technology University,Private,MD,1,9,No,Yes,44488,47,39,51,49,70,45,97,15,613
Cardinal Stritch University,Private,WI,2,9,No,Yes,50420,89,47,54,59,52,48,97,6,1110
Carleton College,Private,MN,2,5,No,No,78315,18,87,91,91,92,88,75,8,1873
Carlow University,Private,PA,2,9,No,Yes,48500,92,43,52,56,52,39,100,11,1625
Carnegie Mellon University,Private,PA,4,9,No,Yes,77474,14,79,93,91,95,92,59,5,12915
Carolina University,Private,NC,1,9,No,Yes,27500,46,31,46,54,38,53,95,10,864
Carroll College,Private,MT,2,7,No,Yes,52490,84,53,67,69,66,65,100,11,1102
Carroll University,Private,WI,2,9,No,Yes,50518,70,57,67,67,67,59,100,14,3361
Carson-Newman University,Private,TN,2,9,No,Yes,45516,79,49,56,47,62,48,100,14,2793
Carthage College,Private,WI,2,7,No,Yes,49000,76,61,68,59,77,61,100,13,3018
Case Western Reserve University,Private,OH,4,9,No,Yes,74114,30,67,84,79,91,81,85,9,11031
Castleton University,Public,VT,2,8,No,Yes,27524,87,42,54,52,57,55,98,14,1845
Catawba College,Private,NC,2,7,No,Yes,48344,56,54,60,57,62,54,99,11,1219
Cazenovia College,Private,NY,1,7,No,Yes,54004,68,47,50,48,51,52,100,11,758
Cedarville University,Private,OH,2,9,No,Yes,45384,62,64,73,72,75,66,100,15,4307
Centenary College of Louisiana,Private,LA,1,7,No,Yes,57500,63,52,57,42,69,48,100,8,596
Centenary University,Private,NJ,2,9,No,Yes,51146,98,59,68,68,69,65,100,12,1306
Central Baptist College,Private,AR,1,5,No,Yes,28866,62,38,42,34,49,22,81,11,543
Central College,Private,IA,2,5,No,Yes,34302,75,60,66,61,71,52,100,12,1098
Central Connecticut State University,Public,CT,3,9,No,Yes,27572,75,29,55,48,62,48,93,14,8605
Central Methodist University-College of Liberal Arts and Sciences,Private,MO,2,5,No,No,42982,99,38,47,40,54,43,100,13,1170
Central Michigan University,Public,MI,4,9,No,Yes,26370,77,34,62,56,66,52,97,17,15457
Central State University,Public,OH,3,7,Yes,Yes,20442,59,8,23,18,28,25,95,25,3568
Central Washington University,Public,WA,4,8,No,Yes,26445,88,32,54,50,57,46,86,15,11338
Centre College,Private,KY,2,5,No,No,60700,68,85,86,83,90,83,100,9,1315
Chaminade University of Honolulu,Private,HI,2,9,No,Yes,46682,90,48,65,57,67,62,91,10,1827
Champlain College,Private,VT,2,7,No,Yes,62134,62,59,68,63,78,68,100,13,3359
Chapman University,Private,CA,3,9,No,Yes,80096,60,72,80,75,82,72,92,12,9805
Charleston Southern University,Private,SC,2,9,No,Yes,44422,57,38,49,43,53,44,99,13,3370
Chatham University,Private,PA,2,9,No,Yes,56103,73,56,63,48,68,60,100,10,2232
Chestnut Hill College,Private,PA,2,9,No,Yes,56061,98,56,63,53,70,55,98,9,1708
Chicago State University,Public,IL,2,9,No,Yes,26179,47,5,21,29,16,19,95,10,2077
Chowan University,Private,NC,1,7,No,Yes,38170,79,18,29,21,35,26,100,16,1063
Christian Brothers University,Private,TN,2,7,No,Yes,48715,97,55,59,52,67,54,100,11,1797
Christopher Newport University,Public,VA,2,7,No,Yes,31796,89,66,75,73,76,69,77,13,4745
Citadel Military College of South Carolina,Public,SC,2,8,No,Yes,30690,86,68,73,74,69,65,88,11,3859
Claflin University,Private,SC,2,7,Yes,Yes,33676,62,38,51,42,56,47,99,13,2036
Claremont McKenna College,Private,CA,2,7,No,No,78717,11,80,93,91,94,86,66,8,1327
Clarion University of Pennsylvania,Public,PA,2,9,No,Yes,28793,99,43,58,49,62,48,98,17,3783
Clark Atlanta University,Private,GA,2,9,Yes,Yes,39446,58,23,42,37,43,40,97,18,3574
Clark University,Private,MA,2,9,No,Yes,62202,48,75,79,80,78,79,96,9,3290
Clarke University,Private,IA,1,9,No,Yes,52241,89,49,54,47,59,58,100,8,837
Clarks Summit University,Private,PA,1,9,No,Yes,36700,58,17,43,38,48,51,100,11,583
Clarkson College,Private,NE,2,9,No,Yes,25974,96,60,68,0,71,60,92,18,976
Clarkson University,Private,NY,2,9,No,Yes,74462,75,63,76,73,81,69,100,13,3747
Clayton  State University,Public,GA,3,8,No,Yes,20919,63,14,36,31,39,35,91,19,5584
Cleary University,Private,MI,1,7,No,Yes,37464,76,35,45,35,67,45,100,18,655
Clemson University,Public,SC,5,9,No,Yes,34164,49,65,85,81,89,75,87,16,25620
Cleveland Institute of Art,Private,OH,1,5,No,Yes,62505,66,47,56,51,59,45,100,9,577
Cleveland Institute of Music,Private,OH,1,9,No,Yes,58904,33,58,71,60,84,75,98,8,344
Cleveland State University,Public,OH,4,9,No,Yes,30179,91,33,51,49,52,44,94,16,13508
Coastal Carolina University,Public,SC,4,9,No,Yes,26680,79,37,51,47,54,45,100,17,9793
Coe College,Private,IA,2,5,No,No,63012,73,59,64,67,63,56,100,9,1488
Coker University,Private,SC,2,7,No,Yes,44864,98,30,37,34,40,31,100,12,1076
Colby College,Private,ME,2,5,No,No,78665,9,81,87,86,88,77,39,10,2475
Colby-Sawyer College,Private,NH,1,7,No,Yes,65145,93,56,61,55,64,44,100,17,807
Colgate University,Private,NY,2,7,No,No,80160,17,87,90,89,92,87,48,9,3112
College for Creative Studies,Private,MI,2,7,No,Yes,60847,54,41,62,63,61,56,99,10,1281
College of Charleston,Public,SC,4,8,No,Yes,31153,76,59,67,61,70,62,98,16,9839
College of Coastal Georgia,Public,GA,2,5,No,Yes,22385,97,12,23,20,24,20,92,21,2612
College of Mount Saint Vincent,Private,NY,2,8,No,Yes,56380,82,35,56,52,59,54,94,15,3251
College of Our Lady of the Elms,Private,MA,2,9,No,Yes,57760,68,60,68,66,69,61,99,11,1197
College of the Atlantic,Private,ME,1,7,No,No,54969,61,53,67,76,63,52,99,10,349
College of the Holy Cross,Private,MA,2,5,No,No,74520,43,90,93,91,94,91,73,10,3153
College of the Ozarks,Private,MO,2,5,No,No,31456,21,45,63,61,63,61,100,15,1652
Colorado College,Private,CO,2,7,No,Yes,79562,14,82,86,84,87,86,60,9,2181
Colorado Mesa University,Public,CO,3,9,No,Yes,24935,80,28,45,38,51,31,89,18,7437
Colorado School of Mines,Public,CO,3,9,No,Yes,38203,57,67,83,83,84,75,98,16,6567
Colorado State University Pueblo,Public,CO,3,9,No,Yes,27545,99,21,39,34,42,32,97,15,5471
Colorado State University-Fort Collins,Public,CO,5,9,No,Yes,28346,90,47,69,66,71,58,84,17,27604
Columbia College Chicago,Private,IL,3,7,No,Yes,48698,96,44,51,48,52,44,99,14,6201
Columbia International University,Private,SC,2,9,No,Yes,38850,46,57,60,50,68,59,97,16,1612
Columbia University in the City of New York,Private,NY,5,9,No,Yes,82584,4,88,97,97,98,96,58,6,28435
Columbus College of Art and Design,Private,OH,2,7,No,Yes,54578,94,55,60,51,63,51,100,10,1032
Columbus State University,Public,GA,3,9,No,Yes,23181,79,19,43,39,46,40,97,16,6903
Concord University,Public,WV,2,8,No,Yes,22178,96,29,42,29,52,35,100,15,1799
Concordia College at Moorhead,Private,MN,2,7,No,Yes,41186,72,71,74,67,79,58,100,12,2000
Concordia University Ann Arbor,Private,MI,2,8,No,Yes,48038,63,34,49,35,65,48,98,10,1004
Concordia University Texas,Private,TX,2,9,No,Yes,50876,89,26,37,34,41,41,100,17,2128
Concordia University-Chicago,Private,IL,3,9,No,Yes,47340,88,2,43,34,50,31,99,13,4314
