Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
LOS ANGELES CITY COLLEGE,CA,5,1,8.7,7.4,14.1
LOS ANGELES HARBOR COLLEGE,CA,5,1,10.5,6.1,7.6
LOS ANGELES PIERCE COLLEGE,CA,5,1,7.9,5,13.2
LOS ANGELES TRADE-TECHNICAL COLLEGE,CA,5,1,17.2,6.4,21.9
LOS ANGELES VALLEY COLLEGE,CA,5,1,8.2,5,10.2
SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,CA,8,2,4.3,3.1,3.9
MARSHALL B. KETCHUM UNIVERSITY,CA,8,2,0,0,0
AMERICAN RIVER COLLEGE,CA,5,1,14.9,17.3,17.3
SACRAMENTO CITY COLLEGE,CA,5,1,14.5,17.3,17.4
MENLO COLLEGE,CA,6,2,7.4,5.3,6.9
MILLS COLLEGE,CA,8,2,3.5,2.3,3.5
MIRACOSTA COLLEGE,CA,6,1,15,14.9,13.9
MONTEREY PENINSULA COLLEGE,CA,5,1,17.5,20,22.5
MOUNT SAINT MARY'S UNIVERSITY,CA,8,2,3.3,2.2,3.3
MOUNT SAN ANTONIO COLLEGE,CA,5,1,7.9,6.1,13.9
MT. SAN JACINTO COLLEGE,CA,5,1,8.6,11.9,11.1
NAPA VALLEY COLLEGE,CA,5,1,9.5,5.7,12.1
OCCIDENTAL COLLEGE,CA,8,2,1.2,1.6,1.6
ORANGE COAST COLLEGE,CA,5,1,12.9,12.7,9.2
OTIS COLLEGE OF ART & DESIGN,CA,8,2,2.1,3,4.5
HOPE INTERNATIONAL UNIVERSITY,CA,8,2,4.5,8.2,5.1
FRESNO PACIFIC UNIVERSITY,CA,8,2,4.5,5.6,5.3
PACIFIC OAKS COLLEGE,CA,8,2,3.4,1,6
PACIFIC SCHOOL OF RELIGION,CA,8,2,3.2,10.8,7.1
PACIFIC UNION COLLEGE,CA,8,2,5.4,7,8
PALOMAR COLLEGE,CA,5,1,14.5,11.2,13.2
PASADENA CITY COLLEGE,CA,5,1,10.5,7.1,9.8
POINT LOMA NAZARENE UNIVERSITY,CA,8,2,2,2.4,2.7
LANEY COLLEGE,CA,5,1,12.5,20.9,27.9
MERRITT COLLEGE,CA,5,1,6.7,19.3,23.6
RIO HONDO COMMUNITY COLLEGE,CA,6,1,15.3,8.6,15.3
RIVERSIDE CITY COLLEGE,CA,5,1,11.5,11.5,13.9
SAN BERNARDINO VALLEY COLLEGE,CA,5,1,6.2,16.6,10.7
SAN DIEGO CITY COLLEGE,CA,5,1,18.2,16.5,14.8
SAN DIEGO MESA COLLEGE,CA,6,1,8.8,9.5,10
SAN FRANCISCO CONSERVATORY OF MUSIC,CA,8,2,4.1,3,4.4
SAN JOAQUIN DELTA COLLEGE,CA,5,1,14.6,20.3,23.1
WILLIAM JESSUP UNIVERSITY,CA,8,2,5,6.5,6.7
SAN JOSE CITY COLLEGE,CA,5,1,17.3,17.1,20.5
SANTA ANA COLLEGE,CA,6,1,12.9,8.9,7.5
SANTA BARBARA CITY COLLEGE,CA,5,1,13.3,12.6,12.6
SANTA MONICA COLLEGE,CA,6,1,10.7,5.2,9.7
SANTA ROSA JUNIOR COLLEGE,CA,5,1,10,10.7,8.5
CLAREMONT SCHOOL OF THEOLOGY,CA,8,2,4.6,5.4,4.1
SHASTA COLLEGE,CA,6,1,11.6,13.7,14.7
SIERRA COLLEGE,CA,5,1,13.4,16.5,14.4
SIMPSON UNIVERSITY,CA,8,2,5.5,2.6,3.3
SOLANO COMMUNITY COLLEGE,CA,6,1,13.4,13.9,16.1
VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,8,2,5,4,4.4
SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,CA,5,1,9.2,12.8,15
SOUTHWESTERN LAW SCHOOL,CA,8,2,0.8,0.8,1.1
DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,CA,8,2,0,5.8,4.7
SAINT MARY'S COLLEGE OF CALIFORNIA,CA,8,2,2,3.6,2.5
STANFORD UNIVERSITY,CA,8,2,0.5,0.5,1
FRESNO CITY COLLEGE,CA,5,1,13,16.8,16.2
REEDLEY COLLEGE,CA,5,1,12.3,17.1,18.3
"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,8,1,1.8,1.7,2
"UNIVERSITY OF CALIFORNIA, DAVIS",CA,8,1,1.5,1.9,1.6
"UNIVERSITY OF CALIFORNIA, IRVINE",CA,8,1,1.4,1.3,1.7
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,8,1,1.6,1,1.3
"UNIVERSITY OF CALIFORNIA, RIVERSIDE",CA,8,1,2.3,2.1,2.8
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,8,1,1,1.5,1.7
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,8,1,1,1.3,0.4
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,8,1,1.8,1.5,2.3
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,8,1,2.9,2.9,3.7
UNIVERSITY OF REDLANDS,CA,8,2,1.6,1.9,3.2
UNIVERSITY OF SAN FRANCISCO,CA,8,2,1.5,2.5,2.1
SANTA CLARA UNIVERSITY,CA,8,2,0.7,1,0.7
UNIVERSITY OF SOUTHERN CALIFORNIA,CA,8,2,1.3,1.2,1.6
UNIVERSITY OF THE PACIFIC,CA,8,2,1.7,1.8,2.1
VENTURA COLLEGE,CA,5,1,12.1,11.7,14.6
VICTOR VALLEY COMMUNITY COLLEGE,CA,5,1,17.6,6.8,6.2
WEST VALLEY COLLEGE,CA,5,1,7.5,11.7,12.1
CORBAN UNIVERSITY,OR,8,2,3,3.2,4
WESTMONT COLLEGE,CA,6,2,1.3,2.1,1.7
WHITTIER COLLEGE,CA,8,2,2.5,3.5,2.4
WOODBURY UNIVERSITY,CA,8,2,4.4,1.8,4.6
YUBA COLLEGE,CA,5,1,8.4,0,16
ADAMS STATE UNIVERSITY,CO,8,1,5.6,9.3,9.7
ARAPAHOE COMMUNITY COLLEGE,CO,6,1,8.7,11.1,8.5
