Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
ROYAL COLLEGE OF SURGEONS IN IRELAND,FC,8,6,2.7,2.1,2.4
SKYLINE COLLEGE,CA,6,1,4,11.9,11.7
CAPRI COLLEGE,IA,4,3,2.1,7.9,6.4
COUNTY COLLEGE OF MORRIS,NJ,5,1,7.9,8.3,9.1
ROWAN COLLEGE AT BURLINGTON COUNTY,NJ,5,1,8.3,11.3,13.3
RARITAN VALLEY COMMUNITY COLLEGE,NJ,5,1,7.9,11.5,11.6
SOUTHERN ARKANSAS UNIVERSITY TECH,AR,5,1,14.3,19,20.5
SOUTHEAST TECHNICAL COLLEGE,SD,5,1,4.9,8.5,9.3
LANSDALE SCHOOL OF BUSINESS,PA,5,3,15.4,16.8,19.3
NEW CASTLE SCHOOL OF TRADES,PA,5,3,21.3,20.7,18.7
MIDDLE TENNESSEE SCHOOL OF ANESTHESIA,TN,8,2,0,0,0
TRIANGLE TECH,PA,5,3,8,11.1,19.4
NEW ENGLAND INSTITUTE OF TECHNOLOGY,RI,8,2,2.2,2.2,1.2
HILLSBOROUGH COMMUNITY COLLEGE,FL,5,1,11.8,11.9,3.7
GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,5,1,8.7,11.2,14.2
UNIVERSITY OF CALGARY,FC,8,5,7,4.2,2.8
AMERICAN UNIVERSITY OF PARIS,FC,8,6,5.8,4.1,5.9
FLAGLER COLLEGE,FL,8,2,5.3,6.4,1.9
BUTTE ACADEMY OF BEAUTY CULTURE,MT,3,3,10.8,18.7,26.1
THADDEUS STEVENS COLLEGE OF TECHNOLOGY,PA,5,1,10.4,8.6,14.7
FRANKLIN COUNTY CAREER AND TECHNOLOGY CENTER,PA,3,1,0,8.6,3.7
PAUL MITCHELL THE SCHOOL ARKANSAS,AR,3,3,7.1,11.8,13
CONCORDE CAREER COLLEGE,CA,5,3,11.2,13.2,14.1
FRONT RANGE COMMUNITY COLLEGE,CO,6,1,9.2,12.4,12.1
LINCOLN COLLEGE OF TECHNOLOGY,IN,5,3,11.3,11,11.1
SALON PROFESSIONAL ACADEMY (THE),IA,4,3,15,13.4,8.2
BETH MEDRASH GOVOHA OF AMERICA,NJ,8,2,3.2,3.4,1.8
WILMINGTON UNIVERSITY,DE,8,2,6.5,8.9,8.1
WEST SHORE COMMUNITY COLLEGE,MI,5,1,12,16,19.2
NORMANDALE COMMUNITY COLLEGE,MN,5,1,7.4,10.9,9.3
HALIFAX COMMUNITY COLLEGE,NC,5,1,6,10.9,9
BLADEN COMMUNITY COLLEGE,NC,5,1,23,16.1,21.8
"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",CA,8,1,5.7,5.3,6.7
GATEWAY COMMUNITY COLLEGE,CT,5,1,10.5,18.6,17.1
MIDDLESEX COMMUNITY COLLEGE,CT,5,1,5.5,16.3,14.1
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER IN SHREVEPORT,LA,8,1,0.4,3,0
CONCORDE CAREER COLLEGE,CA,5,3,10.6,9.9,8.1
BUTTE COLLEGE,CA,5,1,12.4,8,17.9
JOHN A. LOGAN COLLEGE,IL,5,1,13.8,13.8,18.1
SPRINGFIELD TECHNICAL COMMUNITY COLLEGE,MA,5,1,9,12.1,12.5
STATE FAIR COMMUNITY COLLEGE,MO,5,1,12.4,17.1,17.2
CARTERET COMMUNITY COLLEGE,NC,5,1,13,15.9,12
HAYWOOD COMMUNITY COLLEGE,NC,5,1,16.9,15.5,17.7
MCDOWELL TECHNICAL COMMUNITY COLLEGE,NC,5,1,13.1,24.7,27.6
ADULT AND COMMUNITY EDUCATION AT HUDSON,OH,3,1,9.2,9.3,16
TOLEDO PUBLIC SCHOOLS ADULT AND CONTINUING EDUCATION,OH,3,1,15.9,20,24.7
ZANE STATE COLLEGE,OH,6,1,8.6,17.8,19.9
NASHVILLE STATE COMMUNITY COLLEGE,TN,5,1,12,18.3,18.8
UNIVERSIDAD AUTONOMA DE GUADALAJARA,FC,8,6,2.2,3.2,1.2
UNIVERSITY OF WINNIPEG (THE),FC,8,5,12.5,25,25
EVERGREEN STATE COLLEGE (THE),WA,8,1,6.5,8.4,10.4
HOWARD COMMUNITY COLLEGE,MD,5,1,8.5,13,12.6
EMPIRE BEAUTY SCHOOL,MI,3,3,13.1,15.3,14.3
CONTINENTAL SCHOOL OF BEAUTY CULTURE,NY,3,3,9,9.2,9.7
UPMC JAMESON SCHOOL OF NURSING,PA,4,2,1,0,2.1
UNIVERSAL TECHNICAL INSTITUTE,AZ,5,3,11.9,13.8,14.8
SEWARD COUNTY COMMUNITY COLLEGE,KS,5,1,15,17.8,15.8
JOHNSON COUNTY COMMUNITY COLLEGE,KS,5,1,9.1,11.5,11.4
EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY,IL,3,3,14.4,15.1,10.2
IOWA SCHOOL OF BEAUTY,IA,4,3,10.5,8.6,5.9
AWARD BEAUTY SCHOOL,MD,3,3,2.6,1.6,3.1
TERRA STATE COMMUNITY COLLEGE,OH,5,1,12.2,14.4,17.4
MITCHELL TECHNICAL COLLEGE,SD,5,1,5.7,7.9,7.6
GATEWAY COMMUNITY COLLEGE,AZ,5,1,10.2,13.9,15.7
SCOTTSDALE COMMUNITY COLLEGE,AZ,5,1,10.1,14.5,14.6
CECIL COLLEGE,MD,5,1,14.2,15.1,17.1
AUBURN UNIVERSITY MONTGOMERY,AL,8,1,8.2,10.9,10.4
UNIVERSITY OF ALBERTA (THE),FC,8,5,16.6,8.6,3.2
MOUNT SAINT VINCENT UNIVERSITY,FC,8,5,0,0,""
SAINT MARY'S UNIVERSITY,FC,8,5,22.7,13.6,11.5
CONCORDIA UNIVERSITY,FC,8,5,4.3,1.6,6
UNIVERSITE DE MONTREAL,FC,8,5,0,0,0
CARLETON UNIVERSITY,FC,8,5,9,6.6,2
UNIVERSITY OF BRITISH COLUMBIA,FC,8,5,1.3,3,1.5
UNIVERSITY OF VICTORIA,FC,8,5,0,8.2,11.5
AMERICAN UNIVERSITY OF BEIRUT,FC,8,6,3.1,3.3,2.9
TEL AVIV UNIVERSITY,FC,8,5,3.6,7.8,0
VRIJE UNIVERSITEIT AMSTERDAM,FC,8,5,3.1,5.8,4.7
UNIVERSITEIT VAN AMSTERDAM,FC,8,5,1.7,5.2,2.3
UNIVERSITY OF WARWICK,FC,8,5,4,7.3,6.1
UNIVERSITY OF GLASGOW,FC,8,5,1.3,1.8,1.3
UNIVERSITY OF OXFORD,FC,8,5,2.9,0,1.1
UNIVERSITY OF SHEFFIELD (THE),FC,8,5,3,0,3
UNIVERSITY OF SOUTHAMPTON,FC,8,5,7.2,6.4,6.2
INDIAN HILLS COMMUNITY COLLEGE,IA,5,1,11.3,15.3,19.2
BROOKDALE COMMUNITY COLLEGE,NJ,5,1,8.8,12.1,13.2
LA' JAMES INTERNATIONAL COLLEGE,IA,4,3,13.1,13.5,13.8
CLINTON-ESSEX-WARREN-WASHINGTON BOCES,NY,3,1,17.6,20,15.6
SIMON FRASER UNIVERSITY,FC,8,5,8.3,2.7,7.8
UNIVERSITY OF WESTERN ONTARIO (THE),FC,8,5,6.5,6.8,0
ACADIA UNIVERSITY,FC,8,5,10.3,3.3,0
ABERYSTWYTH UNIVERSITY,FC,8,5,3.5,4.9,3.8
LOUGHBOROUGH UNIVERSITY,FC,8,5,0,0,0
UNIVERSITY OF NEWCASTLE UPON TYNE,FC,8,5,2.9,2.6,4.8
UNIVERSITY OF SAINT ANDREWS,FC,8,5,1.6,1.4,2.1
SOUTHWESTERN COMMUNITY COLLEGE,NC,5,1,9.9,17.8,15
CHI HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,NE,5,2,0,0,0
HOHOKUS SCHOOL OF TRADE AND TECHNICAL SCIENCES,NJ,3,3,10.2,18.5,15.5
JAMESTOWN BUSINESS COLLEGE,NY,6,3,4.9,14,14.2
UNIVERSITY OF MELBOURNE,FC,8,5,1.9,4.4,2.2
UNIVERSITY OF WATERLOO,FC,8,5,0,"",""
CONCORDE CAREER COLLEGE,CA,5,3,12.2,18.6,15.9
ATLANTA TECHNICAL COLLEGE,GA,5,1,10,12.6,15
STEVENS - THE INSTITUTE OF BUSINESS & ARTS,MO,6,3,4.8,5.2,4.7
NASH COMMUNITY COLLEGE,NC,5,1,16.4,24.3,22.1
BEAUFORT COUNTY COMMUNITY COLLEGE,NC,5,1,9.5,17.3,23.6
VET TECH INSTITUTE,PA,5,3,3.3,4.4,5.1
WILFRID LAURIER UNIVERSITY,FC,8,5,0,0,0
SWANSEA UNIVERSITY,FC,8,5,5.2,6.5,2.5
UNIVERSITY OF DURHAM,FC,8,5,1.2,1.7,1
WEST LOS ANGELES COLLEGE,CA,6,1,8.8,2.4,8.7
FEATHER RIVER COLLEGE,CA,6,1,7.6,9.2,11.7
"CUNY, HOSTOS COMMUNITY COLLEGE",NY,5,1,8.7,10.9,10.8
ROBESON COMMUNITY COLLEGE,NC,5,1,9.8,8.3,13.2
ROANOKE CHOWAN COMMUNITY COLLEGE,NC,5,1,0,3.7,18.9
EMPIRE BEAUTY SCHOOLS,NH,3,3,4.2,8.1,6.4
JEFFERSON COUNTY DUBOIS AREA VOCATIONAL TECHL SCHOOL PRACTICAL NU,PA,3,1,14.5,16.3,12.3
GENESIS CAREER COLLEGE,TN,3,3,10.5,14.9,11.5
O'BRIENS AVEDA INSTITUTE,VT,3,3,11.1,18.8,20
LORD FAIRFAX COMMUNITY COLLEGE,VA,5,1,11.5,16.8,17.6
GERMANNA COMMUNITY COLLEGE,VA,5,1,8.9,10.3,11.9
UNIVERSITY OF KENT,FC,8,5,1.5,1.6,5.5
UNIVERSITY OF NEW SOUTH WALES (THE),FC,8,5,3.7,2.5,2.5
NORTHWEST STATE COMMUNITY COLLEGE,OH,5,1,8.2,12,13
UNIVERSITY OF ESSEX,FC,8,5,0,4.1,4.2
"CITY, UNIVERSITY OF LONDON",FC,8,5,3.2,1.2,1.4
RASMUSSEN COLLEGE,MN,8,3,7.8,9.4,7.3
ALASKA BIBLE COLLEGE,AK,6,2,0,7.6,10
CALIFORNIA CHRISTIAN COLLEGE,CA,6,2,15.7,4.7,15.3
WRIGHT INSTITUTE (THE),CA,8,2,1,0.9,1.2
WARNER UNIVERSITY,FL,8,2,13.9,15.9,12.4
PALM BEACH ATLANTIC UNIVERSITY,FL,8,2,3.3,3.3,3.6
EDGECOMBE COMMUNITY COLLEGE,NC,5,1,13.1,15.8,19.8
JOHN A GUPTON COLLEGE,TN,5,2,0,3.2,2.9
SIT,VT,8,2,1.7,2.7,3
EAST CENTRAL COLLEGE,MO,5,1,11.9,15.1,15.7
WALTERS STATE COMMUNITY COLLEGE,TN,5,1,2.6,9.3,8.1
ARIZONA ACADEMY OF BEAUTY,AZ,3,3,17.8,15.3,5.7
CONCORDE CAREER COLLEGE,CO,5,3,14.2,15.8,14.2
MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN,FL,8,3,15.3,12,11.3
MORRISON INSTITUTE OF TECHNOLOGY,IL,5,2,10.6,16.2,10.2
PORTAGE LAKES CAREER CENTER,OH,3,1,2.9,17.6,14.2
CONCORDE CAREER COLLEGE,OR,5,3,9.3,13,12.2
PIKES PEAK COMMUNITY COLLEGE,CO,6,1,9.2,13.7,14.8
COLUMBIA CENTRAL UNIVERSITY,PR,8,3,24.9,"",""
COLLEGE OF THE CANYONS,CA,5,1,8.4,5.4,11.6
MACOMB COMMUNITY COLLEGE,MI,5,1,10.7,11.4,14.1
UNIVERSITY OF BIRMINGHAM (THE),FC,8,5,0,4.1,2.3
UNIVERSITY OF HULL,FC,8,5,0,0,9
NEW ENGLAND LAW | BOSTON,MA,8,2,2.6,6.2,2.2
SADDLEBACK COLLEGE,CA,5,1,8.7,7,12.1
UNIVERSITY OF NOTTINGHAM,FC,8,5,0,0,9.6
GRAHAM HOSPITAL SCHOOL OF NURSING,IL,11,2,6.6,3.3,6
PORT HURON COSMETOLOGY COLLEGE,MI,3,3,13.2,9.5,6.3
SALON PROFESSIONAL ACADEMY (THE),PA,3,3,9,11.4,13.5
CLARKSBURG BEAUTY ACADEMY & SCHOOL OF MASSAGE THERAPY,WV,4,3,13.2,16,6.4
CLAYTON STATE UNIVERSITY,GA,8,1,7.7,9.3,10.8
UNIVERSITY OF SALFORD (THE),FC,8,5,0,0,0
MADISONVILLE COMMUNITY COLLEGE,KY,5,1,11.1,15.7,15.2
ASSOCIATED TECHNICAL COLLEGE,CA,3,3,10.6,6.6,16.9
NEIGHBORHOOD PLAYHOUSE SCHOOL OF THE THEATRE (THE),NY,4,2,5.7,5.4,2.4
EMPIRE COLLEGE,CA,8,3,5.5,5.4,4.1
ELMIRA BUSINESS INSTITUTE,NY,5,3,22.2,28.3,20.4
HUNTINGTON JUNIOR COLLEGE OF BUSINESS,WV,5,3,13.7,22.8,18.2
WEST VIRGINIA NORTHERN COMMUNITY COLLEGE,WV,5,1,17.8,23,17.8
BETHEL UNIVERSITY,MN,8,2,1.9,3,2.4
CAPRI INSTITUTE OF HAIR DESIGN,NJ,3,3,13.4,15.7,8.6
"UNIVERSITY OF LONDON, BIRKBECK",FC,8,5,20.5,3.4,4.8
KING'S COLLEGE LONDON,FC,8,5,1.1,2,1
UNIVERSITY OF LONDON - ROYAL HOLLOWAY,FC,8,5,0,0,0
HANNIBAL - LAGRANGE UNIVERSITY,MO,8,2,6.9,8.5,5.7
BAR-ILAN UNIVERSITY,FC,8,5,10.5,20,18.1
GOVERNORS STATE UNIVERSITY,IL,8,1,6.2,7,6.3
WAYNE COUNTY SCHOOLS CAREER CENTER,OH,3,1,18.9,14.2,13.5
WYOTECH,WY,5,3,18.2,20.4,17.5
PAUL D. CAMP COMMUNITY COLLEGE,VA,5,1,16.9,20.9,25.8
SAN ANTONIO COLLEGE,TX,6,1,8.1,10.6,10.5
ROSE STATE COLLEGE,OK,5,1,13.7,17.6,18.7
SIERRA NEVADA COLLEGE,NV,8,2,4.9,6.7,9
LAKESHORE TECHNICAL COLLEGE,WI,5,1,9.1,13.6,10.3
FRANCIS MARION UNIVERSITY,SC,8,1,8.8,8.4,8.4
WAYNE COUNTY COMMUNITY COLLEGE DISTRICT,MI,5,1,14.8,23.6,24.1
WASHINGTON COUNTY COMMUNITY COLLEGE,ME,5,1,7.3,13.4,25.2
CATHOLIC THEOLOGICAL UNION AT CHICAGO,IL,8,2,6.6,3.1,2.5
NASHUA COMMUNITY COLLEGE,NH,5,1,11.1,10.9,13.1
SAMARITAN HOSPITAL SCHOOL OF NURSING,NY,5,2,3.5,4.2,4.6
UNIVERSITY OF LIVERPOOL (THE),FC,8,5,3.7,3,3.3
BROCK UNIVERSITY,FC,8,5,0,"",""
MORAINE PARK TECHNICAL COLLEGE,WI,5,1,6.2,8.2,9.9
LARAMIE COUNTY COMMUNITY COLLEGE,WY,6,1,13.9,12.9,12.9
ART INSTITUTE OF ATLANTA (THE),GA,6,3,18.8,20.9,18
NORTHERN KENTUCKY UNIVERSITY,KY,8,1,7.2,7.7,6.5
MIDWAY PARIS BEAUTY SCHOOL,NY,3,3,7.6,11.6,8.5
BRITTANY BEAUTY SCHOOL -,NY,3,3,12.2,18.2,14.6
GREAT FALLS COLLEGE MONTANA STATE UNIVERSITY,MT,5,1,10,13.8,14.7
UNIVERSITY OF ILLINOIS AT SPRINGFIELD,IL,8,1,3.9,5.5,5.1
JOHNSTON COMMUNITY COLLEGE,NC,5,1,4.7,6.8,14.1
RAMAPO COLLEGE OF NEW JERSEY,NJ,8,1,4.2,4.1,5.4
STOCKTON UNIVERSITY,NJ,8,1,4.2,4.8,4.9
UNIVERSITY OF PRINCE EDWARD ISLAND,FC,8,5,1.2,2.7,1.6
UNIVERSITY OF ABERDEEN,FC,8,5,0,2.5,6.8
PERRY TECHNICAL INSTITUTE,WA,5,2,5.8,9.4,8.1
COLORADO CHRISTIAN UNIVERSITY,CO,8,2,7.6,8.7,6.7
FORTIS COLLEGE,OH,5,3,13.9,22.4,20.6
STATE COLLEGE OF BEAUTY CULTURE,WI,3,3,15.6,10.8,18.4
BRANDON UNIVERSITY,FC,8,5,33.3,30,33.3
ROYAL COLLEGE OF ART,FC,8,5,6,5.8,4.7
TECHNION-ISRAEL INSTITUTE OF TECHNOLOGY,FC,8,5,0,2.2,1.8
TRI-COUNTY COMMUNITY COLLEGE,NC,5,1,12.5,22.1,27
UNIVERSITY OF EXETER,FC,8,5,10,2.5,3.3
UNIVERSITY OF LANCASTER,FC,8,5,0,4.1,4.5
PENNCO TECH,PA,5,3,14,17,8.1
EMPIRE BEAUTY SCHOOL,ME,3,3,13.7,15.6,15.2
EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY,IL,3,3,6.9,4.4,2.5
ST. PAUL'S SCHOOL OF NURSING,NY,5,3,9.1,12.6,8.7
TRINITY WESTERN UNIVERSITY,FC,8,6,4.4,5.4,6.6
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,FC,8,5,5.2,3,3.7
UNIVERSITY OF KING'S COLLEGE,FC,8,5,13.3,0,0
MOUNT ALLISON UNIVERSITY,FC,8,5,4.7,8.6,3.7
GEORGIA HIGHLANDS COLLEGE,GA,6,1,10.2,14.4,14.3
CHARLES A. JONES CAREER AND EDUCATION CENTER,CA,11,1,8.2,7.5,16.6
J. MICHAEL HARROLD BEAUTY ACADEMY,IN,3,3,0,12.7,4.1
GERBER AKRON BEAUTY SCHOOL,OH,3,3,23,18.1,21.8
SPA SCHOOL (THE),OH,4,3,1.4,1.3,6
STAUNTON SCHOOL OF COSMETOLOGY,VA,3,3,6.6,9.4,10.8
COMMUNITY COLLEGE OF DENVER,CO,6,1,12.3,15,16.9
RED ROCKS COMMUNITY COLLEGE,CO,8,1,7.7,10.2,11.2
SPOKANE FALLS COMMUNITY COLLEGE,WA,6,1,10.2,14.2,17.4
WESTERN TEXAS COLLEGE,TX,5,1,20.1,21.3,9.4
TENNESSEE SCHOOL OF BEAUTY,TN,3,3,0.9,3.5,2.8
SUMMIT SALON ACADEMY KANSAS CITY,MO,3,3,8.1,29.5,28.9
CANNELLA SCHOOL OF HAIR DESIGN,IL,3,3,23.5,25.8,21.8
"COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR, SKIN, AND NAILS",MN,3,3,14.6,15.3,20
HOUSE OF HEAVILIN BEAUTY COLLEGE,MO,3,3,11.1,13.1,12.1
CAPITOL SCHOOL OF HAIRSTYLING AND ESTHETICS,NE,4,3,1.3,6.4,8.1
TULSA WELDING SCHOOL,OK,5,3,12.3,13.9,8.3
HERZING UNIVERSITY,WI,8,2,8.4,12.2,12.7
UNIVERSITY OF OXFORD - ST CATHERINE'S COLLEGE,FC,8,5,0,0,0
FLORIDA INTERNATIONAL UNIVERSITY,FL,8,1,4.4,5.2,3.7
BARD COLLEGE AT SIMON'S ROCK,MA,6,2,4.1,2.1,3.2
PIEDMONT COMMUNITY COLLEGE,NC,5,1,14.2,18.3,18.9
OKLAHOMA STATE UNIVERSITY - OKLAHOMA CITY,OK,6,1,9.9,15.8,16.2
TEXAS A&M INTERNATIONAL UNIVERSITY,TX,8,1,5.6,8.2,9.6
"UNIVERSITY OF PUERTO RICO, PONCE",PR,6,1,7.5,11.7,6.9
TIFFIN ACADEMY OF HAIR DESIGN,OH,3,3,6.4,6.2,11.4
EMPIRE BEAUTY SCHOOL,PA,3,3,11.9,13.1,12
RUDAE'S SCHOOL OF BEAUTY CULTURE,IN,3,3,7.5,9,3
BLUE RIDGE COMMUNITY COLLEGE,NC,5,1,19,20.8,22.6
NORTH SEATTLE COLLEGE,WA,6,1,5.3,10.3,13.3
SOUTH SEATTLE COLLEGE,WA,6,1,5.7,11.5,12.5
EVE'S COLLEGE OF HAIRSTYLING,OK,3,3,21.4,16.9,13.6
GLEN DOW ACADEMY OF HAIR DESIGN & SALONS,WA,3,3,8.3,13,10.8
INVER HILLS COMMUNITY COLLEGE,MN,5,1,6.9,10.9,10.7
UNIVERSITY OF TEXAS AT DALLAS,TX,8,1,3.8,4.9,4.7
BELLEVUE UNIVERSITY,NE,8,2,3.1,6,6.4
FOX VALLEY TECHNICAL COLLEGE,WI,5,1,7.2,11.8,13.5
GORDON CONWELL THEOLOGICAL SEMINARY,MA,8,2,3.7,2.6,1.7
CARRINGTON COLLEGE,CA,5,3,12.9,14.1,14.3
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,MA,8,1,0.6,0,1.8
TULSA COMMUNITY COLLEGE,OK,5,1,5.7,14,15.6
TUNXIS COMMUNITY COLLEGE,CT,5,1,4,10.9,9.6
THREE RIVERS COMMUNITY COLLEGE,CT,5,1,5.8,9.4,9
OLIVE-HARVEY COLLEGE,IL,5,1,12.4,19.1,22.3
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,TX,8,1,0.7,0.9,1.3
METROPOLITAN COLLEGE OF NEW YORK,NY,8,2,4.4,5.6,4.4
MIDLAND COLLEGE,TX,6,1,9.3,11.9,15.5
RUSH UNIVERSITY,IL,8,2,0.3,0.4,0.3
"UNIVERSITY OF STRATHCLYDE, GLASGOW",FC,8,5,2.7,3.1,3.9
KENNEBEC VALLEY COMMUNITY COLLEGE,ME,5,1,9.1,16.4,13.4
MODEL COLLEGE OF HAIR DESIGN,MN,3,3,17.5,12.8,15.1
UNIVERSITY OF NORTH FLORIDA,FL,8,1,3.4,4.3,1.3
UNIVERSITY OF SURREY,FC,8,5,0,0,0
CLARKSON COLLEGE,NE,8,2,1.1,0.5,2
PENNSYLVANIA COLLEGE OF HEALTH SCIENCES,PA,8,2,2.4,3.6,2.5
AVEDA INSTITUTE TWIN FALLS,ID,3,3,20,13.3,21.5
OAKTON COMMUNITY COLLEGE,IL,5,1,2.4,5.6,5.9
AVERY JAMES SCHOOL OF COSMETOLOGY,LA,3,3,25.5,25,""
LOWELL ACADEMY HAIR STYLING INSTITUTE,MA,3,3,12.5,8.9,6.6
VANCE - GRANVILLE COMMUNITY COLLEGE,NC,5,1,11.7,15.1,12.7
TECHNICAL COLLEGE OF THE LOWCOUNTRY - BEAUFORT CAMPUS,SC,5,1,10.9,14,10.5
VOLUNTEER STATE COMMUNITY COLLEGE,TN,5,1,11.3,15.7,14.7
ROANE STATE COMMUNITY COLLEGE,TN,5,1,9,16.5,14.6
IVY TECH COMMUNITY COLLEGE OF INDIANA,IN,5,1,11.2,14.9,17.8
UNIVERSITY OF CAMBRIDGE - FITZWILLIAM COLLEGE,FC,8,5,0,0,0
PIEDMONT VIRGINIA COMMUNITY COLLEGE,VA,5,1,10.5,13.3,13.7
SUNY COLLEGE OF OPTOMETRY,NY,8,1,1.2,0,0
UNIVERSITY OF TEXAS OF THE PERMIAN BASIN,TX,8,1,6.2,10.4,8.7
MIDDLESEX COMMUNITY COLLEGE,MA,5,1,8,8.9,9.2
BELMONT COLLEGE,OH,5,1,13.1,16.4,19.4
SHAWNEE STATE UNIVERSITY,OH,8,1,11.8,15.2,16.3
LUNA COMMUNITY COLLEGE,NM,5,1,25,26,28.3
ARKANSAS STATE UNIVERSITY THREE RIVERS,AR,5,1,7.2,9.4,10.5
MORGAN COMMUNITY COLLEGE,CO,6,1,9.3,10.5,8.9
SAINT ANTHONY COLLEGE OF NURSING,IL,8,2,0.9,0.9,0.9
CALIFORNIA AERONAUTICAL UNIVERSITY,CA,8,3,21.1,8.4,6.4
OAK HILLS CHRISTIAN COLLEGE,MN,6,2,11.1,7.6,7.2
PASSAIC COUNTY COMMUNITY COLLEGE,NJ,5,1,11.3,15.6,14.8
GREATER JOHNSTOWN AREA VOCATIONAL TECHNICAL SCHOOL,PA,3,1,9,16.6,9.2
GARRETT COLLEGE,MD,5,1,17.8,18.2,16.2
PAYNE THEOLOGICAL SEMINARY,OH,8,2,7.5,14.2,11.6
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER (THE),TX,8,1,0.3,1.8,0.7
LEWIS AND CLARK COMMUNITY COLLEGE,IL,5,1,8.4,12.6,11.3
JAMES A. RHODES STATE COLLEGE,OH,5,1,9.5,10.7,17
BON SECOURS MEMORIAL COLLEGE OF NURSING,VA,6,2,0.8,1.4,2.9
CUNY LAGUARDIA COMMUNITY COLLEGE,NY,5,1,9.2,13.1,12.3
JEFFERSON LEWIS BOCES PROGRAM OF PRACTICAL NURSING,NY,3,1,9,9,14.2
CRAWFORD COUNTY CAREER & TECHNICAL CENTER,PA,3,1,7.8,7.6,4.7
AIKEN TECHNICAL COLLEGE,SC,5,1,11.8,16.2,15.7
VERNON COLLEGE,TX,5,1,12.7,13.2,18.2
LUND UNIVERSITY,FC,8,5,2.9,3.4,4.9
UNIVERSITY OF CAPE TOWN,FC,8,5,1.7,3.7,5.3
UNIVERSITY OF OXFORD - ST PETER'S COLLEGE,FC,8,5,0,0,0
UNIVERSITY OF OXFORD - CORPUS CHRISTI COLLEGE,FC,8,5,0,"",0
ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA (THE),FC,8,5,3.7,2.7,4.8
UNIVERSITY OF OXFORD - BALLIOL COLLEGE,FC,8,5,0,0,0
CUNY MEDGAR EVERS COLLEGE,NY,6,1,8.7,12.2,10.9
NEUMONT COLLEGE OF COMPUTER SCIENCE,UT,6,3,9.8,6.2,6.6
UNIVERSITY OF TEXAS AT SAN ANTONIO,TX,8,1,5,7.2,6.7
PHAGANS' MEDFORD BEAUTY SCHOOL,OR,4,3,3.2,5.7,0
WADE COLLEGE,TX,6,3,9.6,23.4,18.9
STEWART SCHOOL,SD,3,3,0,1.3,1.3
TOURO COLLEGE,NY,8,2,4.8,6,6.1
UNIVERSITY OF READING,FC,8,5,6,5.1,3.7
WESTERN SUFFOLK BOCES,NY,11,1,7.2,11,9.6
COLORADO TECHNICAL UNIVERSITY,CO,8,3,15.7,18.1,18.8
PEPPERDINE UNIVERSITY,CA,8,2,1.8,1.1,1.4
VINCENNES BEAUTY COLLEGE,IN,3,3,5.5,6.8,5.2
HELENE FULD COLLEGE OF NURSING,NY,6,2,3.1,4.8,8.7
CARDIFF UNIVERSITY,FC,8,5,6.4,4.9,3.5
LORAINES ACADEMY & SPA,FL,3,3,9,8.5,1.6
WESTERN DAKOTA TECHNICAL COLLEGE,SD,5,1,12,13.3,12.2
WESTMORELAND COUNTY COMMUNITY COLLEGE,PA,5,1,11,12.9,16.5
ROGUE COMMUNITY COLLEGE,OR,5,1,11.3,17.1,21
"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",FC,8,5,1.5,4.3,4
UNIVERSITY OF CAMBRIDGE CHURCHILL COLLEGE,FC,8,5,0,0,0
ECPI UNIVERSITY,VA,8,3,11.4,14.2,13.7
UNIVERSITY OF STIRLING,FC,8,5,3.3,9,7.8
BENEDICTINE COLLEGE,KS,8,2,4,3.8,3.1
RANDALL UNIVERSITY,OK,8,2,13.7,16.1,12.5
OHIO STATE BEAUTY ACADEMY,OH,4,3,7.8,8,7.6
SUNY EMPIRE STATE COLLEGE,NY,8,1,4.3,7,6.5
FORTIS INSTITUTE - TOWSON,MD,5,3,16.4,18.5,19.3
HANNAH E MULLINS SCHOOL OF PRACTICAL NURSING,OH,3,1,5.2,15,9.6
UNIVERSITY OF CAMBRIDGE - CLARE COLLEGE,FC,8,5,0,0,0
EASTERN VIRGINIA MEDICAL SCHOOL,VA,8,1,0.5,0.9,0.9
LOS MEDANOS COLLEGE,CA,5,1,18,20.1,12.3
CINCINNATI STATE TECHNICAL & COMMUNITY COLLEGE,OH,6,1,13.5,18,21.2
COLLEGE OF SOUTHERN NEVADA,NV,6,1,13.7,18.6,27.3
WESTERN NEVADA COLLEGE,NV,6,1,13.7,21.3,20.8
